datetime,Latitude,Longitude
2020-02-18 18:02:07,nan,nan
2020-02-18 18:02:10,nan,nan
2020-02-18 18:02:13,nan,nan
2020-02-18 18:02:16,nan,nan
2020-02-18 18:02:16,nan,nan
2020-02-18 18:02:16,nan,nan
2020-02-18 18:02:16,nan,nan
2020-02-18 18:02:16,nan,nan
2020-02-18 18:02:17,nan,nan
2020-02-18 18:02:19,nan,nan
2020-02-18 18:02:22,nan,nan
2020-02-18 18:02:25,nan,nan
2020-02-18 18:02:28,nan,nan
2020-02-18 18:02:31,nan,nan
2020-02-18 18:02:34,nan,nan
2020-02-18 18:02:37,nan,nan
2020-02-18 18:02:40,nan,nan
2020-02-18 18:02:43,nan,nan
2020-02-18 18:02:46,nan,nan
2020-02-18 18:02:49,nan,nan
2020-02-18 18:02:52,nan,nan
2020-02-18 18:02:55,nan,nan
2020-02-18 18:02:58,nan,nan
2020-02-18 18:03:01,nan,nan
2020-02-18 18:03:04,nan,nan
2020-02-18 18:03:07,nan,nan
2020-02-18 18:03:10,nan,nan
2020-02-18 18:03:13,nan,nan
2020-02-18 18:03:16,nan,nan
2020-02-18 18:03:19,nan,nan
2020-02-18 18:03:22,nan,nan
2020-02-18 18:03:25,nan,nan
2020-02-18 18:03:28,nan,nan
2020-02-18 18:03:31,nan,nan
2020-02-18 18:03:34,nan,nan
2020-02-18 18:03:37,nan,nan
2020-02-18 18:03:40,nan,nan
2020-02-18 18:03:44,nan,nan
2020-02-18 18:56:41,nan,nan
2020-02-18 18:56:44,nan,nan
2020-02-18 18:56:47,nan,nan
2020-02-18 18:56:50,nan,nan
2020-02-18 18:56:53,nan,nan
2020-02-18 18:56:56,nan,nan
2020-02-18 18:56:59,nan,nan
2020-02-18 18:57:02,nan,nan
2020-02-18 18:57:05,nan,nan
2020-02-18 18:57:08,nan,nan
2020-02-18 18:57:11,nan,nan
2020-02-19 16:19:51,nan,nan
2020-02-19 16:19:54,nan,nan
2020-02-19 16:19:57,nan,nan
2020-02-19 16:20:00,nan,nan
2020-02-19 16:20:03,nan,nan
2020-02-19 16:20:06,nan,nan
2020-02-19 16:20:09,nan,nan
2020-02-19 16:20:12,nan,nan
2020-02-19 16:20:15,nan,nan
2020-02-19 16:20:18,nan,nan
2020-02-19 16:20:21,nan,nan
2020-02-19 16:20:24,nan,nan
2020-02-19 16:20:27,nan,nan
2020-02-19 16:20:30,nan,nan
2020-02-19 16:20:33,nan,nan
2020-02-19 16:20:36,nan,nan
2020-02-19 16:20:39,nan,nan
2020-02-19 16:20:42,nan,nan
2020-02-19 16:20:45,nan,nan
2020-02-19 16:20:48,nan,nan
2020-02-19 16:20:52,nan,nan
2020-02-19 16:20:55,nan,nan
2020-02-19 16:20:58,nan,nan
